#=================================================================,,,
# Panel,,,
# Report Suite: Main Site (Prod),,,
"# Date: Oct 1, 2020 - Dec 13, 2020",,,
#=================================================================,,,
,,,
,,,
##############################################,,,
# Freeform Table - Channel manager-cross visit (v38) (6194 items out of 6194),,,
##############################################,,,
,Membership Step 4.0 - Confirmation (ev23),Channel manager-cross visit (v38) Instances,Channel: Conversion Rate
Channel manager-cross visit (v38),42480,12823665,0.003312626
natural search,14657,7622911,0.001922756
paid search,7755,302616,0.025626537
typed/bookmarked,4650,1706133,0.002725462
natural search>paid search,2109,97470,0.021637427
natural search>affiliates,1678,31802,0.052763977
affiliates,1363,70164,0.019425916
paid search>natural search,1187,59647,0.019900414
typed/bookmarked>natural search,631,257893,0.002446751
email,609,1016560,0.000599079
natural search>paid search>natural search,544,45940,0.011841532
other natural referrers,541,327206,0.001653393
paid search>affiliates,522,4932,0.105839416
typed/bookmarked>affiliates,414,5243,0.078962426
typed/bookmarked>paid search,298,10175,0.029287469
paid search>natural search>paid search,287,6051,0.047430177
natural search>affiliates>natural search,218,15636,0.013942185
natural search>paid search>affiliates,197,1842,0.106948969
natural search>paid search>natural search>paid search,170,4150,0.040963855
email>natural search,131,90437,0.001448522
natural search>other natural referrers,129,70609,0.001826963
natural search>email,121,94863,0.001275524
natural search>affiliates>natural search>affiliates,120,2110,0.056872038
paid search>natural search>affiliates,108,1022,0.105675147
affiliates>natural search,106,12128,0.008740106
natural search>other natural referrers>natural search,100,61289,0.001631614
other natural referrers>affiliates,99,2431,0.040723982
mobile app,96,84950,0.001130077
natural search>paid search>natural search>paid search>natural search,93,5368,0.017324888
typed/bookmarked>natural search>affiliates,88,1404,0.062678063
email>paid search,81,4319,0.018754341
paid search>other natural referrers,81,2396,0.033806344
other natural referrers>natural search,78,37289,0.00209177
natural search>other natural referrers>affiliates,73,1173,0.062233589
affiliates>natural search>affiliates,71,1495,0.047491639
typed/bookmarked>natural search>paid search,65,3193,0.020357031
paid search>natural search>paid search>natural search,63,3075,0.020487805
paid search>natural search>paid search>natural search>paid search,60,1664,0.036057692
natural search>paid search>natural search>affiliates,60,563,0.106571936
typed/bookmarked>other natural referrers,56,16345,0.003426124
typed/bookmarked>mobile app,52,12307,0.004225238
natural social,49,198815,0.00024646
typed/bookmarked>email,49,26341,0.001860218
other natural referrers>paid search,48,1967,0.024402644
natural search>email>natural search,41,46603,0.000879772
email>affiliates,41,1332,0.030780781
natural search>affiliates>other natural referrers,41,847,0.048406139
paid search>affiliates>paid search,40,524,0.076335878
natural search>mobile app,39,13248,0.002943841
